ID;COUNTRY;YIAR;CAREWORKERS
1;Country B;1991;4.237
2;Country A;1991;11.813
3;Country B;1991;2.864
4;Country A;1991;9.86
5;Country B;1991;5.603
6;Country A;1991;10.639
7;Country B;1991;6.588
8;Country A;1991;9.113
9;Country B;1991;6.317
10;Country A;1991;5.449
11;Country B;1991;6.966
12;Country A;1991;6.874
13;Country B;1991;4.475
14;Country A;1991;12.708
15;Country B;1991;5.21
16;Country A;1991;5.839
17;Country B;1991;3.224
18;Country A;1991;8.362
19;Country B;1991;4.845
20;Country A;1991;12.339
21;Country B;1991;3.648
22;Country A;1991;9.822
23;Country B;1991;5.684
24;Country A;1991;8.39
25;Country B;1991;5.919
26;Country A;1991;9.972
27;Country B;1991;5.422
28;Country A;1991;8.457
29;Country B;1991;6.64
30;Country A;1991;7.638
31;Country B;1991;5.889
32;Country A;1991;9.067
33;Country B;1991;6.156
34;Country A;1991;10.911
35;Country B;1991;5.53
36;Country A;1991;8.502
37;Country B;1991;4.844
38;Country A;1991;10.504
39;Country B;1991;5.672
40;Country A;1991;8.873
41;Country B;1991;5.066
42;Country A;1991;8.708
43;Country B;1991;3.995
44;Country A;1991;11.389
45;Country B;1991;4.049
46;Country A;1991;-9999999
47;Country B;1991;7.241
48;Country A;1991;8.434
49;Country B;1991;3.968
50;Country A;1991;6.613
51;Country B;1991;4.003
52;Country A;1991;6.513
53;Country B;1991;6.222
54;Country A;1991;13.738
55;Country B;1991;4.525
56;Country A;1991;9.804
57;Country B;1991;6.111
58;Country A;1991;11.852
59;Country B;1991;4.727
60;Country A;1991;7.102
61;Country B;1991;4.828
62;Country A;1991;12.494
63;Country B;1991;6.495
64;Country A;1991;8.908
65;Country B;1991;6.232
66;Country A;-1;13.68
67;Country B;1991;5.793
68;Country A;1991;11.408
69;Country B;1991;4.01
70;Country A;1991;8.131
71;Country B;1991;5.916
72;Country A;1991;8.648
73;Country B;1991;5.246
74;Country A;1991;11.976
75;Country B;1991;5.43
76;Country A;1991;11.375
77;Country B;1991;5.215
78;Country A;1991;8.997
79;Country B;1991;4.016
80;Country A;1991;12.726
81;Country B;1991;5.235
82;Country A;1991;9.452
83;Country B;1991;5.97
84;Country A;1991;11.146
85;Country B;1991;6.122
86;Country A;1991;9.769
87;Country B;1991;4.831
88;Country A;1991;9.145
89;Country B;1991;4.986
90;Country A;1991;10.105
91;Country B;1991;5.026
92;Country A;1991;8.106
93;Country B;1991;3.82
94;Country A;1991;7.1
95;Country B;1991;5.136
96;Country A;1991;10.037
97;Country B;1991;6.736
98;Country A;1991;9.169
99;Country B;1991;7.95
100;Country A;1991;6.922
101;Country B;1991;3.996
102;Country A;1991;11.031
103;Country B;1991;4.79
104;Country A;1991;8.587
105;Country B;1991;4.601
106;Country A;1991;7.659
107;Country B;1991;5.703
108;Country A;1991;11.081
109;Country B;1991;6.34
110;Country A;1991;10.948
111;Country B;1991;5.918
112;Country A;1991;10.056
113;Country B;-1;5.265
114;Country A;1991;8.577
115;Country B;1991;5.057
116;Country A;1991;7.258
117;Country B;1991;4.219
118;Country A;1991;10.921
119;Country B;1991;5.247
120;Country A;1991;11.036
121;Country B;1991;4.591
122;Country A;1991;10.93
123;Country B;1991;5.402
124;Country A;1991;7.579
125;Country B;1991;4.35
126;Country A;1991;6.718
127;Country B;1991;4.976
128;Country A;1991;9.593
129;Country B;1991;3.333
130;Country A;1991;12.471
131;Country B;1991;5.335
132;Country A;1991;11.949
133;Country B;1991;3.12
134;Country A;1991;7.718
135;Country B;1991;3.599
136;Country A;1991;11.28
137;Country B;1991;5.463
138;Country A;1991;10.623
139;Country B;1991;6.76
140;Country A;1991;6.879
141;Country B;1991;3.976
142;Country A;1991;7.942
143;Country B;1991;4.889
144;Country A;1991;11.973
145;Country B;1991;4.412
146;Country A;1991;10.627
147;Country B;1991;4.879
148;Country A;1991;9.987
149;Country B;1991;4.908
150;Country A;1991;7.658
151;Country B;1991;5.22
152;Country A;1991;9.518
153;Country B;1991;4.711
154;Country A;1991;13.196
155;Country B;1991;3.737
156;Country A;1991;10.449
157;Country B;1991;4.533
158;Country A;1991;9.824
159;Country B;1991;6.059
160;Country A;1991;10.305
161;Country B;1991;5.162
162;Country A;1991;10.504
163;Country B;1991;4.966
164;Country A;1991;7.221
165;Country B;1991;6.22
166;Country A;1991;-9999999
167;Country B;1991;3.693
168;Country A;1991;13.109
169;Country B;1991;5.688
170;Country A;1991;10.17
171;Country B;1991;5.364
172;Country A;-1;7.232
173;Country B;1991;3.983
174;Country A;1991;10.428
175;Country B;1991;4.303
176;Country A;1991;8.769
177;Country B;1991;5.962
178;Country A;1991;11.566
179;Country B;1991;5.538
180;Country A;1991;7.803
181;Country B;1991;3.987
182;Country A;1991;13.544
183;Country B;1991;5.12
184;Country A;1991;10.036
185;Country B;1991;6.043
186;Country A;1991;8.568
187;Country B;1991;4.302
188;Country A;1991;10.478
189;Country B;1991;4.976
190;Country A;1991;10.688
191;Country B;1991;3.911
192;Country A;1991;9.289
193;Country B;1991;4.44
194;Country A;1991;10.71
195;Country B;1991;4.702
196;Country A;1991;12.282
197;Country B;1991;5.152
198;Country A;1991;9.228
199;Country B;1991;5.162
200;Country A;1991;9.8
201;Country B;1991;4.05
202;Country A;1991;11.294
203;Country B;1991;4.798
204;Country A;1991;10.648
205;Country B;1991;6.97
206;Country A;1991;9.194
207;Country B;1991;4.332
208;Country A;1991;8.979
209;Country B;1991;4.836
210;Country A;1991;13.525
211;Country B;1991;3.731
212;Country A;1991;7.171
213;Country B;1991;4.522
214;Country A;1991;10.076
215;Country B;1991;4.965
216;Country A;1991;7.555
217;Country B;1991;6.158
218;Country A;1991;6.885
219;Country B;1991;4.501
220;Country A;1991;9.737
221;Country B;1991;5.962
222;Country A;1991;9.897
223;Country B;1991;4.989
224;Country A;1991;10.58
225;Country B;1991;4.933
226;Country A;1991;10.735
227;Country B;1991;4.021
228;Country A;1991;9.794
229;Country B;1991;5.61
230;Country A;1991;9.334
231;Country B;1991;3.3
232;Country A;1991;11.094
233;Country B;1991;4.699
234;Country A;1991;9.359
235;Country B;1991;6.186
236;Country A;1991;8.522
237;Country B;1991;4.05
238;Country A;1991;9.886
239;Country B;1991;4.322
240;Country A;1991;12.987
241;Country B;1991;5.669
242;Country A;1991;8.637
243;Country B;1991;6.017
244;Country A;1991;9.61
245;Country B;1991;7.563
246;Country A;1991;8.51
247;Country B;1991;4.943
248;Country A;1991;12.578
249;Country B;1991;6.563
250;Country A;1991;8.631
251;Country B;1991;4.746
252;Country A;1991;11.261
253;Country B;1991;4.063
254;Country A;1991;10.433
255;Country B;1991;5.538
256;Country A;1991;8.907
257;Country B;1991;3.312
258;Country A;1991;9.462
259;Country B;1991;4.575
260;Country A;1991;10.329
261;Country B;1991;4.755
262;Country A;1991;5.835
263;Country B;1991;5.251
264;Country A;1991;9.647
265;Country B;1991;5.169
266;Country A;1991;10.885
267;Country B;1991;6.643
268;Country A;-1;10.007
269;Country B;1991;6.414
270;Country A;1991;8.606
271;Country B;1991;3.679
272;Country A;1991;7.058
273;Country B;1991;4.917
274;Country A;1991;7.871
275;Country B;1991;3.577
276;Country A;1991;8.243
277;Country B;1991;3.782
